age,isow,co2,rsl
10.3,0.88472700000000,269.8,-33.95
10.4,0.8958880000000000,271.2,-31.3
10.5,0.9466930000000000,273.8,-32.1
10.600000000000000,1.001986000000000,271.86666700000001,-33.090000000000003
10.699999999999999,1.0276179999999999,274.39999999999998,-38.45000000000000
10.8,1.0260220000000000,272.46666699999997,-40.08
10.9,0.9823060000000000,270.9,-41.66
11.0,0.9585960000000000,272.5,-43.25
11.100000000000000,0.8863370000000000,267.8500000000000,-44.82000000000000
11.199999999999999,0.9121899999999999,272.60000000000002,-46.35000000000000
11.3,0.9826660000000000,271.099161000000,-47.92
11.4,1.0985980000000000,271.36680100000001,-49.56
11.5,1.117166000000000,264.8893400000000,-51.25
11.600000000000000,0.9485380000000000,258.07126799999998,-53.06000000000000
11.699999999999999,0.7477790000000000,262.483033000000,-54.829999999999998
